id_transacao,data_transacao,valor,tipo_transacao,descricao
1,2024-07-01,1500.45,DEPOSITO,Depósito de Salário
2,2024-07-02,-200.32,SAQUE,Saque em ATM
3,2024-07-03,-50.67,PAGAMENTO,Cafeteria
4,2024-07-03,2000.78,TRANSFERENCIA,Transferência para Poupança
5,2024-07-04,-100.25,PAGAMENTO,Supermercado
6,2024-07-04,-30.12,PAGAMENTO,Transporte Público
7,2024-07-05,2500.89,DEPOSITO,Pagamento Freelance
8,2024-07-06,-300.55,SAQUE,Saque em ATM
9,2024-07-07,-20.30,PAGAMENTO,Assinatura Online
10,2024-07-07,500.40,DEPOSITO,Retorno de Investimento
11,2024-07-08,3200.99,DEPOSITO,Salário
12,2024-07-09,-450.23,PAGAMENTO,Aluguel
13,2024-07-10,-75.35,PAGAMENTO,Academia
14,2024-07-11,-120.50,PAGAMENTO,Restaurante
15,2024-07-12,1800.75,TRANSFERENCIA,Transferência de Poupança
16,2024-07-13,300.10,DEPOSITO,Reembolso
17,2024-07-14,-60.55,PAGAMENTO,Uber
18,2024-07-15,750.90,TRANSFERENCIA,Transferência para Investimento
19,2024-07-16,-15.45,PAGAMENTO,Café
20,2024-07-17,1000.65,DEPOSITO,Bônus
21,2024-07-18,-200.90,SAQUE,Saque em ATM
22,2024-07-19,2200.80,TRANSFERENCIA,Transferência para Poupança
23,2024-07-20,-85.75,PAGAMENTO,Supermercado
24,2024-07-21,-300.20,PAGAMENTO,Luz e Água
25,2024-07-22,250.40,DEPOSITO,Reembolso
26,2024-07-23,-150.60,PAGAMENTO,Telefone
27,2024-07-24,-45.30,PAGAMENTO,Cinema
28,2024-07-25,2000.10,TRANSFERENCIA,Transferência de Investimento
29,2024-07-26,-95.90,PAGAMENTO,Restaurante
30,2024-07-27,2750.75,DEPOSITO,Salário
31,2024-07-28,-350.60,PAGAMENTO,Aluguel
32,2024-07-29,-80.20,PAGAMENTO,Supermercado
33,2024-07-30,-25.40,PAGAMENTO,Transporte Público
34,2024-08-01,1600.95,DEPOSITO,Depósito de Salário
35,2024-08-02,-210.80,SAQUE,Saque em ATM
36,2024-08-03,-55.50,PAGAMENTO,Cafeteria
37,2024-08-03,2150.60,TRANSFERENCIA,Transferência para Poupança
38,2024-08-04,-110.30,PAGAMENTO,Supermercado
39,2024-08-04,-35.20,PAGAMENTO,Transporte Público
40,2024-08-05,2650.40,DEPOSITO,Pagamento Freelance
41,2024-08-06,-310.70,SAQUE,Saque em ATM
42,2024-08-07,-25.90,PAGAMENTO,Assinatura Online
43,2024-08-07,510.20,DEPOSITO,Retorno de Investimento
44,2024-08-08,3300.75,DEPOSITO,Bônus Anual
45,2024-08-08,-155.40,PAGAMENTO,Restaurante
46,2024-08-09,820.75,TRANSFERENCIA,Transferência da Conta Corrente
47,2024-08-09,-220.22,PAGAMENTO,Cinema
48,2024-08-10,1350.45,DEPOSITO,Reembolso Médico
49,2024-08-11,-200.30,PAGAMENTO,Combustível
50,2024-08-12,500.85,DEPOSITO,Prêmio de Seguro